SQL1
Query 1
year
month
month_name
south
west
midwest
northeast
1	1968	1	January	35.6	17	22.6	12.9
2	1968	2	February	31.5	18.6	23.3	9.7
3	1968	3	March	42.5	17.4	24.4	10.7
4	1968	4	April	42.9	20.6	27	12
5	1968	5	May	46.2	20	25.1	20
6	1968	6	June	37.7	23.2	26.9	16.8
7	1968	7	July	50.3	21.2	25.7	20.1
8	1968	8	August	46.6	23.1	33.4	15.3
9	1968	9	September	48.7	22	37.9	27
10	1968	10	October	50.2	23	34.2	20.5
11	1968	11	November	45.7	18.4	35.8	14.4
12	1968	12	December	49.8	21.6	31.2	19.5
13	1969	1	January	40.1	19.7	18	11
14	1969	2	February	34.8	23	23.3	14.9
15	1969	3	March	53.3	21.1	23.5	17
16	1969	4	April	38.1	20.9	24.9	14.8
17	1969	5	May	50.9	22.8	26.4	17.9
18	1969	6	June	53.7	23.5	31.6	22.9
19	1969	7	July	46.5	25.4	27.3	19.5
20	1969	8	August	45.8	22.3	36.7	21.5
21	1969	9	September	48.4	24.5	39.8	21
22	1969	10	October	49.4	28.4	35.2	23.5
23	1969	11	November	38.9	26.4	29.6	18.1
24	1969	12	December	53.2	23.4	28.4	17.7
25	1970	1	January	43.7	25.2	23.1	13.2
26	1970	2	February	39.6	24.5	19.6	13.2
27	1970	3	March	40	25	17.5	13.3
28	1970	4	April	43.9	24.4	24.3	10.8
29	1970	5	May	40.5	22.9	28.3	15.9
30	1970	6	June	60.1	25.8	29.9	15
31	1970	7	July	45.5	28.5	25.8	17.6
32	1970	8	August	65.9	28.8	34.5	18.4
33	1970	9	September	49.7	31.2	29.7	18.3
34	1970	10	October	62.6	25.7	34.6	18.1
35	1970	11	November	52.4	25.7	28.1	14.3
36	1970	12	December	50.9	27.8	27.9	16.9
37	1971	1	January	46.8	22.3	24	14.2
38	1971	2	February	45.1	24.1	14.3	14.9
39	1971	3	March	50	28.8	17.7	11.7
40	1971	4	April	60.6	32.3	25.1	15.2
41	1971	5	May	60.4	30.3	27.1	15.9
42	1971	6	June	63.4	30.8	28.7	21.4
43	1971	7	July	62.3	36.7	28.5	18
44	1971	8	August	69.3	43.1	37.9	21.2
45	1971	9	September	65.5	38.2	40.2	26
46	1971	10	October	66.4	43.5	37.7	27.1
47	1971	11	November	63.7	34.2	34.2	21
48	1971	12	December	73.6	40.9	32.8	19.1
49	1972	1	January	67.6	32.8	26.6	18.2
50	1972	2	February	61.2	35.8	27.5	19
51	1972	3	March	61.4	34.1	28.4	21
52	1972	4	April	64.9	34.6	30.3	18.6
53	1972	5	May	61.8	39.4	32.7	19.5
54	1972	6	June	73.5	41.1	35.2	24.1
55	1972	7	July	71.5	34.9	34.4	22.1
56	1972	8	August	81.4	42.9	38	27.4
57	1972	9	September	73.4	46	40.7	32.9
58	1972	10	October	82.2	43.6	42.2	25.6
59	1972	11	November	64	36.6	36.6	27.1
60	1972	12	December	85.7	40.6	39.1	25.7
61	1973	1	January	72.2	33.7	32.4	23.2
62	1973	2	February	66.2	34.6	22.5	20.2
63	1973	3	March	71.2	42.9	33.2	15.7
64	1973	4	April	79	36.2	30.1	21.8
65	1973	5	May	82.8	39.5	31.9	28
66	1973	6	June	87.1	40.1	43.3	31.7
67	1973	7	July	74.9	39.5	34.3	23.9
68	1973	8	August	85.3	35.9	38.6	26
69	1973	9	September	75.1	44.8	45.7	22.4
70	1973	10	October	75.3	40	55.7	27.8
71	1973	11	November	67.3	33.6	38.2	25.5
72	1973	12	December	69.8	37.7	35.8	27.8
73	1974	1	January	65.8	28.7	27.5	21.1
74	1974	2	February	59.9	28.7	26.3	16.2
75	1974	3	March	64.1	26.7	25.3	20.8
76	1974	4	April	61.8	26.5	34.7	14.7
77	1974	5	May	60.3	31.7	24.9	20.4
78	1974	6	June	69.4	31.3	42.2	23.6
79	1974	7	July	66	28.1	29.1	19
80	1974	8	August	60	32.9	32.6	21.5
81	1974	9	September	68.7	32.5	31.3	18.6
82	1974	10	October	65	30	41.1	19.8
83	1974	11	November	56	31.5	31.6	19.5
84	1974	12	December	59	34.7	30.6	16.6
85	1975	1	January	50.3	21.7	31.4	13.9
86	1975	2	February	39.7	21.1	20.5	10.5
87	1975	3	March	44.1	20	17.3	17.8
88	1975	4	April	38.8	19.8	21	12.7
89	1975	5	May	42.1	21.5	26.2	17.5
90	1975	6	June	49	21.7	24.2	15
91	1975	7	July	47.4	22	23.9	14.1
92	1975	8	August	47	28.6	27.8	12.5
93	1975	9	September	39.1	26.8	37.4	19.6
94	1975	10	October	40.5	26.8	26.2	17.1
95	1975	11	November	45.3	29.5	28.3	18.5
96	1975	12	December	48	27.3	29	16.7
97	1976	1	January	36.5	22.4	23.8	8.9
98	1976	2	February	36.6	22	22.2	8.5
99	1976	3	March	38.6	23.4	24.8	13.9
100	1976	4	April	38	25.6	20.8	11.5
